,a,id,customer_index,date,quantity,monetary
0,0,4,1,1997-01-01,2,29.33
1,1,4,1,1997-01-18,2,29.73
2,2,4,1,1997-08-02,1,14.96
3,3,4,1,1997-12-12,2,26.48
4,4,21,2,1997-01-01,3,63.34
5,5,21,2,1997-01-13,1,11.77
6,6,50,3,1997-01-01,1,6.79
7,7,71,4,1997-01-01,1,13.97
8,8,86,5,1997-01-01,2,23.94
9,9,111,6,1997-01-01,1,35.99
10,10,111,6,1997-01-11,1,32.99
11,11,111,6,1997-03-15,4,77.96
12,12,111,6,1997-04-16,3,59.3
13,13,111,6,1997-04-24,2,134.98
14,14,111,6,1997-06-23,1,91.92
15,15,111,6,1997-07-22,3,47.08
16,16,111,6,1997-07-26,2,71.96
17,17,111,6,1997-10-25,3,78.47
18,18,111,6,1997-12-06,3,83.47
19,19,111,6,1998-01-18,4,84.46
20,20,111,6,1998-02-15,4,123.96
21,21,111,6,1998-02-21,2,32.98
22,22,111,6,1998-02-26,2,23.06
23,23,111,6,1998-05-10,1,72.99
24,24,111,6,1998-06-20,3,55.47
25,25,112,7,1997-01-01,1,11.77
26,26,112,7,1997-02-05,1,11.77
27,27,113,8,1997-01-01,3,32.91
28,28,113,8,1998-03-04,1,15.27
29,29,113,8,1998-03-07,1,11.49
30,30,114,9,1997-01-01,1,16.36
31,31,114,9,1997-05-01,2,28.13
32,32,114,9,1997-09-08,1,22.97
33,33,114,9,1998-02-10,1,28.49
34,34,114,9,1998-02-11,2,28.98
35,35,131,10,1997-01-01,2,30.32
36,36,133,11,1997-01-01,1,18.99
37,37,133,11,1997-01-27,1,14.37
38,38,133,11,1997-02-01,1,9.77
39,39,133,11,1997-03-02,1,15.99
40,40,133,11,1997-05-04,3,47.33
41,41,133,11,1997-06-21,3,59.74
42,42,133,11,1997-11-11,2,32.98
43,43,151,12,1997-01-01,1,13.97
44,44,166,13,1997-01-01,2,29.53
45,45,166,13,1997-11-30,2,16.48
46,46,166,13,1997-12-13,3,36.97
47,47,166,13,1997-12-21,2,17.98
48,48,166,13,1997-12-24,3,36.97
49,49,166,13,1998-02-24,1,11.49
50,50,166,13,1998-03-18,1,11.88
51,51,166,13,1998-05-27,1,11.88
52,52,181,14,1997-01-01,3,43.7
53,53,198,15,1997-01-01,1,15.76
54,54,221,16,1997-01-01,1,12.49
55,55,228,17,1997-01-01,2,25.98
56,56,228,17,1997-02-06,2,23.54
57,57,228,17,1997-02-11,1,13.97
58,58,228,17,1997-02-12,1,27.77
59,59,228,17,1997-02-28,1,9.98
60,60,228,17,1997-03-11,1,15.36
61,61,228,17,1997-05-27,1,21.97
62,62,228,17,1997-05-31,1,17.3
63,63,228,17,1997-07-08,3,51.75
64,64,228,17,1997-08-07,2,36.74
65,65,228,17,1997-08-28,1,23.97
66,66,228,17,1997-12-29,3,41.47
67,67,228,17,1998-01-06,1,29.99
68,68,234,18,1997-01-01,1,13.97
69,69,234,18,1997-02-04,1,9.99
70,70,226,19,1997-01-02,2,35.93
71,71,226,19,1997-02-23,2,26.73
72,72,226,19,1997-04-20,2,23.76
73,73,226,19,1997-07-19,2,24.74
74,74,226,19,1998-02-15,1,15.49
75,75,226,19,1998-05-05,3,43.47
76,76,243,20,1997-01-02,2,17.96
77,77,256,21,1997-01-02,1,14.99
78,78,256,21,1997-03-02,2,34.6
79,79,256,21,1997-04-14,1,29.99
80,80,261,22,1997-01-02,1,8.77
81,81,281,23,1997-01-02,1,14.7
82,82,297,24,1997-01-02,1,14.96
83,83,312,25,1997-01-02,2,87.74
84,84,312,25,1997-12-21,1,14.99
85,85,314,26,1997-01-02,1,3.99
86,86,314,26,1997-01-13,10,166.89
87,87,314,26,1997-01-13,4,60.25
88,88,333,27,1997-01-02,1,15.9
89,89,341,28,1997-01-02,2,26.14
90,90,341,28,1997-07-27,4,80.46
91,91,350,29,1997-01-02,1,46.37
92,92,353,30,1997-01-02,2,28.76
93,93,353,30,1997-02-12,2,40.47
94,94,367,31,1997-01-02,1,44.77
95,95,388,32,1997-01-02,1,10.77
96,96,408,33,1997-01-02,1,25.99
97,97,425,34,1997-01-02,1,14.99
98,98,429,35,1997-01-02,1,11.77
99,99,429,35,1997-07-11,2,31.14
100,100,429,35,1998-06-14,1,59.49
101,101,440,36,1997-01-02,1,14.96
102,102,473,37,1997-01-02,3,34.97
103,103,489,38,1997-01-02,3,47.0
104,104,489,38,1997-01-17,1,13.97
105,105,502,39,1997-01-02,1,15.36
106,106,502,39,1997-10-09,1,16.99
107,107,516,40,1997-01-02,1,14.99
108,108,487,41,1997-01-03,1,11.77
109,109,530,42,1997-01-03,1,11.97
110,110,542,43,1997-01-03,4,45.67
111,111,558,44,1997-01-03,4,49.67
112,112,562,45,1997-01-03,1,8.97
113,113,562,45,1997-06-23,1,14.96
114,114,564,46,1997-01-03,3,40.7
115,115,564,46,1997-01-14,1,14.96
116,116,564,46,1997-01-21,2,43.13
117,117,564,46,1997-01-27,1,14.96
118,118,564,46,1997-02-04,2,39.33
119,119,564,46,1997-04-11,2,29.92
120,120,564,46,1997-06-27,2,37.93
121,121,564,46,1997-07-10,2,26.73
122,122,564,46,1997-07-14,2,29.58
123,123,564,46,1997-07-29,1,14.96
124,124,564,46,1997-07-31,1,21.97
125,125,564,46,1997-08-28,2,29.73
126,126,564,46,1997-08-28,2,27.74
127,127,564,46,1997-09-01,2,23.54
128,128,564,46,1997-10-13,2,32.48
129,129,564,46,1997-10-28,2,24.48
130,130,564,46,1997-12-14,3,35.97
131,131,564,46,1998-01-10,2,26.48
132,132,564,46,1998-02-13,2,28.98
133,133,564,46,1998-03-01,2,30.98
134,134,564,46,1998-03-05,2,32.47
135,135,564,46,1998-03-25,2,25.98
136,136,564,46,1998-04-15,1,11.88
137,137,564,46,1998-05-31,1,12.99
138,138,581,47,1997-01-03,1,14.37
139,139,612,48,1997-01-03,1,12.49
140,140,621,49,1997-01-03,1,17.9
141,141,621,49,1997-01-14,1,14.37
142,142,636,50,1997-01-03,3,27.92
143,143,656,51,1997-01-03,3,55.1
144,144,656,51,1998-04-11,6,93.81
145,145,656,51,1998-04-11,2,20.98
146,146,675,52,1997-01-03,1,24.99
147,147,687,53,1997-01-03,1,12.97
148,148,687,53,1998-04-10,2,34.41
149,149,736,54,1997-01-03,2,28.74
150,150,755,55,1997-01-03,1,52.99
151,151,756,56,1997-01-03,1,14.37
152,152,756,56,1997-07-06,1,13.97
153,153,756,56,1997-08-23,4,42.08
154,154,760,57,1997-01-03,1,11.77
155,155,760,57,1997-02-02,1,15.36
156,156,760,57,1998-04-20,2,26.3
157,157,18,58,1997-01-04,1,14.96
158,158,645,59,1997-01-04,3,44.71
159,159,645,59,1997-09-30,1,6.49
160,160,645,59,1997-11-24,1,12.99
161,161,645,59,1998-03-19,1,36.99
162,162,703,60,1997-01-04,8,121.34
163,163,773,61,1997-01-04,4,56.27
164,164,773,61,1997-01-20,4,62.9
165,165,773,61,1997-01-20,1,15.36
166,166,773,61,1997-02-24,3,63.95
167,167,773,61,1997-02-24,1,24.99
168,168,773,61,1997-03-03,1,15.36
169,169,773,61,1997-07-29,1,31.03
170,170,773,61,1997-12-17,2,29.48
171,171,773,61,1997-12-18,1,28.49
172,172,773,61,1997-12-22,3,66.97
173,173,775,62,1997-01-04,10,186.67
174,174,789,63,1997-01-04,2,27.34
175,175,789,63,1997-04-27,3,43.13
176,176,789,63,1998-03-30,2,28.97
177,177,795,64,1997-01-04,1,13.97
178,178,816,65,1997-01-04,3,35.31
179,179,834,66,1997-01-04,2,21.98
180,180,836,67,1997-01-04,4,59.08
181,181,836,67,1997-01-26,10,144.08
182,182,836,67,1997-06-01,8,122.88
183,183,836,67,1997-11-12,8,140.42
184,184,857,68,1997-01-04,2,24.94
185,185,875,69,1997-01-04,1,16.99
186,186,881,70,1997-01-04,2,36.94
187,187,881,70,1997-01-11,1,11.77
188,188,881,70,1997-06-02,5,71.02
189,189,881,70,1997-07-28,3,45.09
190,190,881,70,1998-04-18,7,106.03
191,191,899,71,1997-01-04,2,145.47
192,192,913,72,1997-01-04,1,12.77
193,193,918,73,1997-01-04,4,51.87
194,194,918,73,1997-02-14,5,69.23
195,195,918,73,1997-12-07,1,15.49
196,196,936,74,1997-01-04,1,14.99
197,197,947,75,1997-01-04,6,53.46
198,198,947,75,1997-02-09,2,20.77
199,199,958,76,1997-01-04,8,117.1
200,200,974,77,1997-01-04,1,18.36
201,201,989,78,1997-01-05,1,14.96
202,202,1012,79,1997-01-05,1,13.97
203,203,1012,79,1997-03-07,1,13.77
204,204,1012,79,1997-03-22,1,14.37
205,205,1012,79,1997-05-03,3,32.51
206,206,1014,80,1997-01-05,5,96.36
207,207,1034,81,1997-01-05,2,33.96
208,208,1035,82,1997-01-05,5,66.84
209,209,1035,82,1997-02-26,3,42.09
210,210,1050,83,1997-01-05,2,21.76
211,211,1062,84,1997-01-05,1,14.96
212,212,1080,85,1997-01-05,1,14.99
213,213,1099,86,1997-01-05,1,14.96
214,214,1099,86,1997-02-03,2,24.74
215,215,1099,86,1997-02-05,1,8.0
216,216,1099,86,1997-02-25,1,13.97
217,217,1099,86,1997-02-27,1,27.77
218,218,1099,86,1997-03-18,3,45.28
219,219,1099,86,1997-06-24,4,58.68
220,220,1099,86,1997-07-09,1,14.96
221,221,1099,86,1997-12-30,1,17.49
222,222,1099,86,1998-02-27,1,18.49
223,223,1099,86,1998-03-23,1,10.49
224,224,1099,86,1998-06-17,3,46.47
225,225,1101,87,1997-01-05,1,0.0
226,226,1108,88,1997-01-05,1,16.3
227,227,1108,88,1997-01-05,1,13.99
228,228,1108,88,1997-02-14,2,14.96
229,229,1108,88,1997-03-05,2,11.58
230,230,1108,88,1997-03-26,1,6.79
231,231,1108,88,1997-04-13,1,6.79
232,232,1108,88,1997-07-24,1,12.25
233,233,1108,88,1997-08-04,2,20.74
234,234,1108,88,1997-08-24,1,11.77
235,235,1108,88,1997-08-24,1,12.25
236,236,1108,88,1997-09-03,1,14.96
237,237,1108,88,1997-09-09,1,12.99
238,238,1108,88,1997-09-10,1,11.49
239,239,1108,88,1997-10-07,1,5.49
240,240,1108,88,1997-11-18,1,4.49
241,241,1108,88,1997-11-18,1,5.49
242,242,1108,88,1998-03-01,1,5.49
243,243,1108,88,1998-03-06,1,2.99
244,244,1131,89,1997-01-05,5,71.63
245,245,1150,90,1997-01-05,1,37.97
246,246,1158,91,1997-01-05,6,79.94
247,247,1158,91,1997-08-26,1,14.99
248,248,1167,92,1997-01-05,4,47.28
249,249,1167,92,1997-01-11,4,60.84
250,250,1167,92,1997-01-14,2,19.94
251,251,1167,92,1997-01-22,2,24.74
252,252,1167,92,1997-02-10,2,23.54
253,253,1167,92,1997-05-18,6,99.19
254,254,1167,92,1997-09-24,3,76.97
255,255,1167,92,1998-04-18,5,62.79
256,256,1174,93,1997-01-05,1,34.9
257,257,1188,94,1997-01-05,3,43.09
258,258,1209,95,1997-01-05,3,31.51
259,259,1223,96,1997-01-05,3,56.51
260,260,1240,97,1997-01-05,2,36.36
261,261,1241,98,1997-01-05,1,11.77
262,262,1241,98,1997-06-22,2,25.74
263,263,1241,98,1997-08-16,3,41.1
264,264,1241,98,1997-12-21,1,14.99
265,265,1241,98,1998-01-28,3,38.97
266,266,1251,99,1997-01-05,1,6.79
267,267,1251,99,1997-01-15,1,4.79
268,268,1251,99,1997-08-24,2,24.5
269,269,1251,99,1997-09-11,4,35.96
270,270,1251,99,1997-09-25,2,17.48
271,271,1251,99,1998-01-17,3,32.47
272,272,1251,99,1998-03-26,3,58.97
273,273,1251,99,1998-05-05,3,21.09
274,274,1252,100,1997-01-05,1,16.99
275,275,1252,100,1997-06-21,2,26.22
276,276,441,101,1997-01-06,5,62.45
277,277,441,101,1997-02-13,1,12.49
278,278,441,101,1997-05-05,1,6.79
279,279,441,101,1997-05-26,1,6.79
280,280,441,101,1997-08-13,3,37.31
281,281,441,101,1997-09-16,2,23.98
282,282,441,101,1997-11-17,2,15.48
283,283,441,101,1997-11-20,1,14.49
284,284,441,101,1997-12-10,1,14.99
285,285,441,101,1998-06-03,2,24.48
286,286,1115,102,1997-01-06,1,19.99
287,287,1265,103,1997-01-06,4,34.74
288,288,1280,104,1997-01-06,1,22.7
289,289,1283,105,1997-01-06,6,79.21
290,290,1283,105,1997-06-24,7,92.8
291,291,1291,106,1997-01-06,3,52.3
292,292,1291,106,1997-02-18,3,52.3
293,293,1302,107,1997-01-06,6,125.82
294,294,1317,108,1997-01-06,2,32.98
295,295,1322,109,1997-01-06,2,27.13
296,296,1322,109,1997-01-08,3,39.09
297,297,1333,110,1997-01-06,3,42.49
298,298,1333,110,1997-11-08,2,29.48
299,299,1343,111,1997-01-06,1,9.97
300,300,1343,111,1997-01-08,1,12.97
301,301,1343,111,1998-06-04,1,12.58
302,302,1350,112,1997-01-06,7,156.0
303,303,1365,113,1997-01-06,1,11.77
304,304,1377,114,1997-01-06,1,14.37
305,305,1377,114,1997-06-24,1,24.99
306,306,1380,115,1997-01-06,2,29.33
307,307,1393,116,1997-01-06,1,8.77
308,308,1393,116,1997-02-12,3,28.31
309,309,1393,116,1998-01-02,4,58.46
310,310,1393,116,1998-05-26,3,14.47
311,311,1395,117,1997-01-06,1,8.77
312,312,1420,118,1997-01-06,1,11.77
313,313,1433,119,1997-01-06,1,9.98
314,314,1446,120,1997-01-06,1,19.77
315,315,1480,121,1997-01-06,1,15.96
316,316,1480,121,1997-01-27,1,13.77
317,317,1483,122,1997-01-06,11,163.52
318,318,1504,123,1997-01-06,1,24.99
319,319,1518,124,1997-01-06,1,14.96
320,320,1528,125,1997-01-06,1,10.99
321,321,1528,125,1997-02-25,3,36.71
322,322,1528,125,1998-02-13,1,7.49
323,323,719,126,1997-01-07,2,34.98
324,324,1463,127,1997-01-07,3,28.37
325,325,1540,128,1997-01-07,1,10.77
326,326,1544,129,1997-01-07,1,6.79
327,327,1544,129,1997-01-09,2,9.58
328,328,1544,129,1997-01-24,2,19.16
329,329,1544,129,1997-02-13,1,13.97
330,330,1544,129,1997-03-01,1,11.77
331,331,1560,130,1997-01-07,1,12.77
332,332,1560,130,1997-03-15,1,14.37
333,333,1560,130,1997-06-19,2,28.74
334,334,1560,130,1997-07-08,1,14.96
335,335,1561,131,1997-01-07,4,49.87
336,336,1561,131,1997-11-10,6,66.94
337,337,1568,132,1997-01-07,1,27.99
338,338,1568,132,1997-06-24,4,71.66
339,339,1583,133,1997-01-07,1,13.7
340,340,1583,133,1997-04-09,1,11.77
341,341,1583,133,1997-07-25,1,15.96
342,342,1583,133,1998-01-21,1,9.49
343,343,1583,133,1998-03-05,1,11.49
344,344,1583,133,1998-03-25,1,12.99
345,345,1583,133,1998-06-03,1,12.58
346,346,1583,133,1998-06-09,1,9.99
347,347,1585,134,1997-01-07,1,8.77
348,348,1585,134,1998-05-25,1,15.99
349,349,1596,135,1997-01-07,2,35.36
350,350,1596,135,1997-06-20,2,19.54
351,351,1596,135,1997-12-08,4,44.96
352,352,1596,135,1998-02-11,3,32.74
353,353,1605,136,1997-01-07,2,44.98
354,354,1605,136,1997-02-05,2,19.96
355,355,1605,136,1997-02-28,1,26.99
356,356,1618,137,1997-01-07,1,12.97
357,357,1623,138,1997-01-07,1,14.99
358,358,1623,138,1997-02-23,2,29.98
359,359,1623,138,1997-05-05,5,73.62
360,360,1623,138,1997-11-27,8,106.42
361,361,1623,138,1998-03-19,3,30.4
362,362,1623,138,1998-03-21,1,9.49
363,363,1623,138,1998-05-05,7,97.95
364,364,1627,139,1997-01-07,1,11.77
365,365,1627,139,1997-01-22,2,29.33
366,366,1631,140,1997-01-07,1,11.77
367,367,1631,140,1997-04-27,2,23.54
368,368,1640,141,1997-01-07,7,79.99
369,369,1647,142,1997-01-07,2,59.98
370,370,1647,142,1997-01-08,2,27.14
371,371,1647,142,1997-01-09,4,51.66
372,372,1647,142,1997-02-06,1,12.97
373,373,1647,142,1997-02-07,2,26.14
374,374,1647,142,1997-02-24,3,59.97
375,375,1647,142,1998-01-08,1,13.99
376,376,1647,142,1998-02-04,2,22.98
377,377,1655,143,1997-01-07,2,26.73
378,378,1655,143,1997-01-24,1,14.96
379,379,1655,143,1997-07-26,1,15.36
380,380,1661,144,1997-01-07,1,174.99
381,381,1661,144,1997-01-21,2,45.35
382,382,1661,144,1997-02-21,1,17.9
383,383,1661,144,1997-02-28,1,15.7
384,384,1661,144,1997-05-13,2,26.73
385,385,1661,144,1997-07-29,1,31.03
386,386,1661,144,1997-08-14,1,17.95
387,387,1661,144,1997-09-03,1,5.78
388,388,1661,144,1997-10-20,1,29.99
389,389,1661,144,1997-10-21,1,11.49
390,390,1661,144,1997-11-12,1,25.49
391,391,1661,144,1998-02-12,1,14.49
392,392,1661,144,1998-06-09,1,29.99
393,393,1663,145,1997-01-07,1,14.96
394,394,1663,145,1997-01-22,1,14.96
395,395,1663,145,1997-09-14,1,22.99
396,396,1664,146,1997-01-07,5,70.42
397,397,1668,147,1997-01-07,1,13.97
398,398,1668,147,1997-02-07,1,14.39
399,399,1668,147,1997-05-15,2,41.95
400,400,1668,147,1997-07-05,2,43.57
401,401,1668,147,1997-07-31,1,9.77
402,402,1668,147,1997-07-31,1,9.77
403,403,1668,147,1997-12-11,1,14.99
404,404,1669,148,1997-01-07,1,9.98
405,405,1669,148,1997-01-17,3,44.32
406,406,1669,148,1997-01-27,1,39.47
407,407,1669,148,1997-03-05,2,73.98
408,408,1669,148,1997-03-19,1,7.98
409,409,1669,148,1997-03-24,1,12.77
410,410,1669,148,1997-04-10,1,29.95
